StationName,StationId,ObsTime,Lat,Lon,District,City,DistrictCode,CityCode,UVIndex,UVLevel
基隆,466940,2025-06-01T09:30:00+08:00,25.133314,121.740475,仁愛區,基隆市,10017040,10017,5,高量級
淡水,466900,2025-06-01T09:30:00+08:00,25.164889,121.448906,淡水區,新北市,65000100,65000,4,中量級
新北,466881,2025-06-01T09:30:00+08:00,24.959207,121.525196,新店區,新北市,65000060,65000,4,中量級
陽明山,466930,2025-06-01T09:30:00+08:00,25.162078,121.544547,北投區,臺北市,63000120,63000,5,中量級
鞍部,466910,2025-06-01T09:30:00+08:00,25.182586,121.529731,北投區,臺北市,63000120,63000,5,中量級
彭佳嶼,466950,2025-06-01T09:30:00+08:00,25.627975,122.079744,中正區,基隆市,10017010,10017,4,中量級
臺北,466920,2025-06-01T09:30:00+08:00,25.037658,121.514853,中正區,臺北市,63000050,63000,5,中量級
新屋,467050,2025-06-01T09:30:00+08:00,25.006725,121.047492,新屋區,桃園市,68000110,68000,5,中量級
